model,layer,domain_a,domain_b,auc
google--gemma-3-12b-it--width_16k,0,biology,chemistry,0.823761
google--gemma-3-12b-it--width_16k,0,biology,math,0.768372
google--gemma-3-12b-it--width_16k,0,biology,physics,0.78952
google--gemma-3-12b-it--width_16k,0,chemistry,math,0.860992
google--gemma-3-12b-it--width_16k,0,chemistry,physics,0.906677
google--gemma-3-12b-it--width_16k,0,math,physics,0.887909
google--gemma-3-12b-it--width_16k,1,biology,chemistry,0.817276
google--gemma-3-12b-it--width_16k,1,biology,math,0.762009
google--gemma-3-12b-it--width_16k,1,biology,physics,0.781693
google--gemma-3-12b-it--width_16k,1,chemistry,math,0.855118
google--gemma-3-12b-it--width_16k,1,chemistry,physics,0.901443
google--gemma-3-12b-it--width_16k,1,math,physics,0.885529
google--gemma-3-12b-it--width_16k,2,biology,chemistry,0.851334
google--gemma-3-12b-it--width_16k,2,biology,math,0.805649
google--gemma-3-12b-it--width_16k,2,biology,physics,0.820618
google--gemma-3-12b-it--width_16k,2,chemistry,math,0.889832
google--gemma-3-12b-it--width_16k,2,chemistry,physics,0.923843
google--gemma-3-12b-it--width_16k,2,math,physics,0.910934
google--gemma-3-12b-it--width_16k,3,biology,chemistry,0.85408
google--gemma-3-12b-it--width_16k,3,biology,math,0.807602
google--gemma-3-12b-it--width_16k,3,biology,physics,0.823395
google--gemma-3-12b-it--width_16k,3,chemistry,math,0.892563
google--gemma-3-12b-it--width_16k,3,chemistry,physics,0.927307
google--gemma-3-12b-it--width_16k,3,math,physics,0.913589
google--gemma-3-12b-it--width_16k,4,biology,chemistry,0.839691
google--gemma-3-12b-it--width_16k,4,biology,math,0.792633
google--gemma-3-12b-it--width_16k,4,biology,physics,0.809982
google--gemma-3-12b-it--width_16k,4,chemistry,math,0.883881
google--gemma-3-12b-it--width_16k,4,chemistry,physics,0.920822
google--gemma-3-12b-it--width_16k,4,math,physics,0.905029
google--gemma-3-12b-it--width_16k,5,biology,chemistry,0.835617
google--gemma-3-12b-it--width_16k,5,biology,math,0.783936
google--gemma-3-12b-it--width_16k,5,biology,physics,0.800735
google--gemma-3-12b-it--width_16k,5,chemistry,math,0.878204
google--gemma-3-12b-it--width_16k,5,chemistry,physics,0.919266
google--gemma-3-12b-it--width_16k,5,math,physics,0.900452
google--gemma-3-12b-it--width_16k,6,biology,chemistry,0.830002
google--gemma-3-12b-it--width_16k,6,biology,math,0.77594
google--gemma-3-12b-it--width_16k,6,biology,physics,0.794159
google--gemma-3-12b-it--width_16k,6,chemistry,math,0.875229
google--gemma-3-12b-it--width_16k,6,chemistry,physics,0.917892
google--gemma-3-12b-it--width_16k,6,math,physics,0.898849
google--gemma-3-12b-it--width_16k,7,biology,chemistry,0.836182
google--gemma-3-12b-it--width_16k,7,biology,math,0.783218
google--gemma-3-12b-it--width_16k,7,biology,physics,0.803909
google--gemma-3-12b-it--width_16k,7,chemistry,math,0.879944
google--gemma-3-12b-it--width_16k,7,chemistry,physics,0.922012
google--gemma-3-12b-it--width_16k,7,math,physics,0.902237
google--gemma-3-12b-it--width_16k,8,biology,chemistry,0.837738
google--gemma-3-12b-it--width_16k,8,biology,math,0.779922
google--gemma-3-12b-it--width_16k,8,biology,physics,0.805511
google--gemma-3-12b-it--width_16k,8,chemistry,math,0.876556
google--gemma-3-12b-it--width_16k,8,chemistry,physics,0.923752
google--gemma-3-12b-it--width_16k,8,math,physics,0.898026
google--gemma-3-12b-it--width_16k,9,biology,chemistry,0.846024
google--gemma-3-12b-it--width_16k,9,biology,math,0.790314
google--gemma-3-12b-it--width_16k,9,biology,physics,0.813156
google--gemma-3-12b-it--width_16k,9,chemistry,math,0.879807
google--gemma-3-12b-it--width_16k,9,chemistry,physics,0.922974
google--gemma-3-12b-it--width_16k,9,math,physics,0.901825
google--gemma-3-12b-it--width_16k,10,biology,chemistry,0.852707
google--gemma-3-12b-it--width_16k,10,biology,math,0.800598
google--gemma-3-12b-it--width_16k,10,biology,physics,0.824326
google--gemma-3-12b-it--width_16k,10,chemistry,math,0.886932
google--gemma-3-12b-it--width_16k,10,chemistry,physics,0.929337
google--gemma-3-12b-it--width_16k,10,math,physics,0.906982
google--gemma-3-12b-it--width_16k,11,biology,chemistry,0.845795
google--gemma-3-12b-it--width_16k,11,biology,math,0.7892
